"ISBN","書名","作者","分類","版次","出版社"
"9786267252246","贏在邏輯思考力：玩一場擴張邊界的遊戲","郝旭烈","商業理財","初版","商業週刊"
"9789865535667","與成功有約：高效能人士的七個習慣（30週年全新增訂版）","顧淑馨","心理勵志","初版","天下文化"
"9789865066802","尺碼謊言：拒絕極端審美綁架，停止危險減重，與自己的身材和解","Robert J. Davis","醫療保健","初版","高寶"
"9789863988472","晶片戰爭：矽時代的新賽局，解析地緣政治下全球最關鍵科技的創新、商業模式與台灣的未來","Chris Miller","商業理財","初版","天下雜誌"
"9789864594412","世界咖啡地圖","James Hoffmann","飲食","初版","積木文化"
"9789869627047","到道東：北海道東部地區魅力指南","Dot道東編輯部","旅遊","初版","大藝出版"
"9789865470432","矽島的危與機：半導體與地緣政治","黃欽勇","人文社科","初版","交通大學出版社"
"9789863126157","必學！Python 資料科學‧機器學習最強套件：NumPy、Pandas、Matplotlib、OpenCV、scikit-learn、tf.Keras","石川聡彦","程式設計","初版","旗標"
"9789863127116","文科生也學得會！資料科學 ✕ 機器學習實戰探索 ：使用 Excel","楊清鴻","程式設計","初版","旗標"
"9789865072414","零基礎入門的機器學習圖鑑：2大類機器學習╳ 17種演算法 ╳ Python基礎教學，讓你輕鬆學以致用","秋庭伸也","科技趨勢","初版","采實文化"
"9789865026783","Python機器學習與深度學習特訓班(第二版)：看得懂也會做的AI人工智慧實戰(附120分鐘影音教學/範例程式)","文淵閣工作室","程式設計","二版","碁峰"
"9789861750064","先別急著吃棉花糖","喬辛．迪．波沙達","商業理財","初版","方智"
"9789866526671","看得到的化學：你一輩子都會用到的化學元素知識","Theodore Gray","自然科普","初版","大是文化"
"9789573276555","麥肯錫新人邏輯思考5堂課：只要一小時，就可學會一生受用的邏輯思考法則"," 大嶋祥譽","商業理財","初版","遠流"
"9789861341613","公司的品格：22個案例，了解公司治理和上市櫃公司的財務陷阱","李華驎","商業理財","初版","先覺"
"9786263331877","網路概論的十六堂精選課程(第二版)：行動通訊 x 物聯網 x 大數據 x 雲端運算 x 人工智慧"," 吳燦銘","電腦資訊","初版","博碩"
"9789864769384","Raspberry Pi x Python x Prolog：虛實整合的AI人工智慧專案開發實戰","Donald J. Norris","電腦資訊","初版","碁峰"
"9786263297814","大師級背景繪製技法講座：從概念、構圖到完稿","tomato","藝術設計","初版","台灣東販"
"9789573271666","點子都是偷來的：10個沒人告訴過你的創意撇步","Austin Kleon","藝術設計","初版","遠流"
"9789864012626","專業動畫師講座 生動描繪人物全方位解析（附DVD）：只花了三年就考進吉卜力工作室的男人！連新海城也大讚本書！","室井康雄","藝術設計","初版","瑞昇"
"9786267305089","京都怪奇談： 看遍怨靈、輪迴與冥界的愛恨嗔癡，日本高僧三木大雲親身遇見的「另一個世界」","三木大雲","宗教命理","初版","大牌出版"
"9789860673777","實現心願、改變人生的月亮魔法：用藥草、水晶、精油、塔羅、占星增強月相能量連結，超過100種日常祈願語&儀式指南","Aurora Kane","宗教命理","初版","大樹林"
"9787574207233","如何拉出完美便便：從人體消化、動物排泄到便便的神奇用途","（法）納賈·貝爾哈吉","親子教養","初版","天津科學"
"9786263551657","讀懂孩子內心話：教授媽媽郭葉珍，陪你輕鬆帶孩子","郭葉珍","親子教養","初版","天下文化"
"9789865254049","不敗學習力：學霸都在用的10大聰明讀書法(金牌冠軍燙金版，附贈劉軒設計學習動力筆記）","劉軒","親子教養","初版","未來出版"
"9786269709908","只想瑀你．初體驗：miss you photobook","瑀熙","影視偶像","初版","水靈文創"
"9789573297062","我願意：沉浸式劇本＋創作全紀實【限量加贈演員簽章劇照卡】（幕前幕後雙書封設計）","吳洛纓, 絡思本娛樂製作","影視偶像","初版","遠流"
"9786267197165","制霸考場！1張紙最強記憶學習法：升學考、國考、證照檢定都適用！利用「記憶週期」分配複習頻率，打造「記住海量資訊」的致勝學霸腦","棚田健大郎","考試用書","初版","財經傳訊"
"9786263439788","不用讀書的國文課－聽Podcast聊【古典文學】，讓古文大咖成為你的高分家教：【提供「學測跨領域混合題組」】","施百俊BJ, 賴修淯（奇魯）, 林儷芳","考試用書","初版","五南"
"9789865102715","溫泉鄉青春曲【直木賞作家三浦紫苑，最有愛、高共鳴度的長篇新作】","三浦紫苑","文學小說","初版","悅知文化"
"9786267089002","上班何須太委屈，轉職身價再晉級：LinkedIn日本負責人教你找出職能優勢標籤，成就理想的工作與人生","村上臣","商業理財","初版","寶鼎"
"9789865536763","寫出你的村上春樹FU：用47個村上式造梗技巧，找出自己的寫作風格","中村邦夫","文學小說","初版","幸福文化"
"9786263610675","理想生活的關鍵字：練習輕巧地過日子，找回金錢、時間與心靈的餘裕","Kasin","心理勵志","初版","遠流"
